[Fe/H]|RAJ2000|DEJ2000|Dist|deg
150.21881440000|-00.56740811900|-0.769|150.218814400|-00.567408119| 1.7937
215.88113360000|+00.45606926200|-1.253|215.881133600|+00.456069262| 1.2765
196.09250840000|+00.88385648600|-1.479|196.092508400|+00.883856486| 3.0021
112.70115370000|+34.95827756000|-0.599|112.701153700|+34.958277560| 1.3181
195.23745420000|+00.60651061300|-1.090|195.237454200|+00.606510613| 3.8752
193.14435610000|+00.48643348200|-1.519|193.144356100|+00.486433482| 2.6152
196.96281490000|+00.15581636800|-1.206|196.962814900|+00.155816368| 0.7224
062.37154205000|-06.44207368800|-2.004|062.371542050|-06.442073688| 2.0950
026.22067146000|+13.18688223000|-1.353|026.220671460|+13.186882230| 2.4382
173.69463990000|+01.15034316900|-1.960|173.694639900|+01.150343169| 1.7869
173.62309890000|+00.76603718500|-1.888|173.623098900|+00.766037185| 2.5299
223.33203260000|+01.12842518300|-2.324|223.332032600|+01.128425183| 3.7326
056.58998975000|-06.79848343000|-0.961|056.589989750|-06.798483430| 3.7513
257.53707880000|+34.00000953000|-1.201|257.537078800|+34.000009530| 2.4212
151.69464690000|+63.47511075000|-1.434|151.694646900|+63.475110750| 3.3686
149.12095340000|+62.72142139000|-0.885|149.120953400|+62.721421390| 3.5194
189.71616750000|+00.78625309500|-1.337|189.716167500|+00.786253095| 2.9333
119.06062000000|+40.24596021000|-2.055|119.060620000|+40.245960210| 2.5869
173.56777650000|-00.51806744900|-1.184|173.567776500|-00.518067449| 1.9772
173.86701820000|+01.14689113100|-2.591|173.867018200|+01.146891131| 3.1726
257.55949550000|+59.82656077000|-2.041|257.559495500|+59.826560770| 1.9693
057.51210371000|+00.08488661900|-1.286|057.512103710|+00.084886619| 2.4481
181.52013500000|-03.44041087500|-1.560|181.520135000|-03.440410875| 2.0500
180.84173330000|-03.44840919200|-2.094|180.841733300|-03.448409192| 3.7038
179.14659760000|-02.16677120100| 0.332|179.146597600|-02.166771201| 2.6247
172.96237460000|-03.19786137600|-0.968|172.962374600|-03.197861376| 1.7830
054.99172502000|-07.38532815000|-1.452|054.991725020|-07.385328150| 2.9770
173.94604040000|-00.57553818000|-1.816|173.946040400|-00.575538180| 3.2185
145.45715600000|+60.86926843000|-1.866|145.457156000|+60.869268430| 2.1350
173.34563640000|+65.98269993000|-1.140|173.345636400|+65.982699930| 3.4833
113.77767040000|+36.10160902000|-2.131|113.777670400|+36.101609020| 3.3174
147.45612110000|+61.13904013000|-0.917|147.456121100|+61.139040130| 3.8389
148.10485780000|+61.17149141000|-1.901|148.104857800|+61.171491410| 1.7939
147.55668370000|+61.01234384000|-1.978|147.556683700|+61.012343840| 2.7594
213.66597990000|+01.05379560100|-1.936|213.665979900|+01.053795601| 1.4908
160.35881140000|+02.80291554000|-1.396|160.358811400|+02.802915540| 2.6541
146.68330500000|+60.79719058000|-1.471|146.683305000|+60.797190580| 1.8646
056.40927088000|-07.26085676100|-1.753|056.409270880|-07.260856761| 3.2530
235.83415850000|+53.45539127000|-1.346|235.834158500|+53.455391270| 3.4298
056.64184139000|-07.18088014700|-1.489|056.641841390|-07.180880147| 2.8584
164.41576280000|+00.75763741800|-0.527|164.415762800|+00.757637418| 2.6049
144.25477380000|+59.32624341000|-1.195|144.254773800|+59.326243410| 2.2093
223.42191790000|+58.66833317000|-1.209|223.421917900|+58.668333170| 3.2998
147.31654090000|+60.48169991000|-0.806|147.316540900|+60.481699910| 2.2283
144.20072990000|+59.79362357000|-1.289|144.200729900|+59.793623570| 1.4010
187.64824070000|-00.30502810400|-0.885|187.648240700|-00.305028104| 1.9442
187.57807030000|-00.70466121800|-0.525|187.578070300|-00.704661218| 2.5634
163.75157080000|-00.13617160100|-1.261|163.751570800|-00.136171601| 2.4491
042.35323289000|-08.28982511800|-1.036|042.353232890|-08.289825118| 1.3314
141.99042950000|+04.68816898000|-1.292|141.990429500|+04.688168980| 2.3513
193.62417640000|+03.63268877500|-0.791|193.624176400|+03.632688775| 1.9423
162.79980750000|+01.98999961600|-1.259|162.799807500|+01.989999616| 2.9791
127.59130730000|+44.11310510000|-1.622|127.591307300|+44.113105100| 2.7119
200.16037200000|+66.04444304000|-1.693|200.160372000|+66.044443040| 2.8423
202.15112900000|+65.90909839000|-0.884|202.151129000|+65.909098390| 3.1643
056.82223230000|-06.69652875100|-0.800|056.822232300|-06.696528751| 3.1226
319.61204220000|+10.91337570000|-1.222|319.612042200|+10.913375700| 1.0742
322.57024930000|-07.80363043400|-1.653|322.570249300|-07.803630434| 2.0559
054.63654483000|-06.65081010300|-1.450|054.636544830|-06.650810103| 2.7703
054.87488965000|-06.59862223700|-1.524|054.874889650|-06.598622237| 3.8455
168.72551040000|+64.44467043000|-1.909|168.725510400|+64.444670430| 3.8808
027.05022871000|+13.96102313000|-0.719|027.050228710|+13.961023130| 3.4402
146.44480030000|+02.39892049700|-1.414|146.444800300|+02.398920497| 1.7019
052.04177017000|-07.20682010000|-1.925|052.041770170|-07.206820100| 1.8810
203.28292950000|+66.06338579000|-1.479|203.282929500|+66.063385790| 3.1471
203.31756110000|+66.00765889000|-1.716|203.317561100|+66.007658890| 3.8637
205.67121680000|+65.72703112000|-0.493|205.671216800|+65.727031120| 3.9425
021.50601540000|+13.58988655000|-0.906|021.506015400|+13.589886550| 0.9293
021.05600973000|+15.42414527000|-0.751|021.056009730|+15.424145270| 2.0112
197.20857460000|-01.35143578800|-0.916|197.208574600|-01.351435788| 1.7103
127.40327980000|-00.63352820600|-1.346|127.403279800|-00.633528206| 1.3691
054.19239853000|-06.34196144600|-0.554|054.192398530|-06.341961446| 2.8883
020.48038749000|+14.74277176000|-1.142|020.480387490|+14.742771760| 1.9860
122.94596970000|+45.26606855000|-1.558|122.945969700|+45.266068550| 2.8946
170.14295110000|+66.06154395000|-2.029|170.142951100|+66.061543950| 1.8676
170.29581920000|+66.13959991000|-1.805|170.295819200|+66.139599910| 2.4109
254.89477200000|+35.26509698000|-2.906|254.894772000|+35.265096980| 1.8303
320.03458930000|+10.12277256000|-2.088|320.034589300|+10.122772560| 1.9166
054.74586922000|-06.24821634100|-0.450|054.745869220|-06.248216341| 3.3954
359.53837590000|-09.46932985500|-1.663|359.538375900|-09.469329855| 1.8240
176.78011600000|+64.12226207000|-0.426|176.780116000|+64.122262070| 3.6843
138.58380780000|+57.17151831000|-0.757|138.583807800|+57.171518310| 2.8213
260.37571560000|+26.56719523000|-1.910|260.375715600|+26.567195230| 2.6225
132.69365050000|+53.97653430000|-2.151|132.693650500|+53.976534300| 3.4425
204.17686160000|+66.48265618000|-1.064|204.176861600|+66.482656180| 3.6013
112.80246670000|+36.97686405000|-0.845|112.802466700|+36.976864050| 3.4506
022.54361600000|+14.69461602000|-1.316|022.543616000|+14.694616020| 2.0990
022.75010109000|+14.67505477000|-1.314|022.750101090|+14.675054770| 2.7524
133.04082930000|-00.33968956100|-1.231|133.040829300|-00.339689561| 1.8834
133.07997880000|-00.35928603700|-2.592|133.079978800|-00.359286037| 3.3604
